ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
1.48259 -0.567573 -0.460578 1.61298 0.613209 0.796903 1.44769 -0.155509 0.623606 -0.149618 -1.54488 -0.35932 0.778722 0.30552 -4.8 -15.392 -9.756 -6.172 0.092 0.288 0.12
1.48183 -0.565655 -0.460194 1.60953 0.613209 0.798054 1.44884 -0.170431 0.615359 -0.159043 -1.54645 -0.353036 0.781471 0.294917 -4.704 -15.456 -9.688 -6.14 0.036 0.28 0.128
1.48221 -0.564505 -0.460961 1.60876 0.612442 0.800354 1.44961 -0.182212 0.609076 -0.161399 -1.55784 -0.349895 0.783435 0.287848 -4.86 -15.424 -9.788 -6.14 0.0 0.28 0.14
1.48183 -0.563354 -0.461345 1.60454 0.612442 0.801888 1.44961 -0.189281 0.6024 -0.16297 -1.55823 -0.340863 0.786184 0.289812 -4.86 -15.424 -9.656 -6.172 -0.036 0.26 0.148
1.48067 -0.562587 -0.461345 1.60148 0.612058 0.803806 1.44923 -0.195957 0.595725 -0.173573 -1.54527 -0.334187 0.786969 0.294524 -4.8 -15.392 -9.32 -6.2 -0.072 0.26 0.12
1.48067 -0.56067 -0.462112 1.59802 0.611291 0.803806 1.45038 -0.204596 0.592583 -0.184961 -1.54095 -0.326333 0.790503 0.289419 -4.892 -15.424 -9.12 -6.172 -0.12 0.268 0.12
1.47952 -0.559903 -0.461728 1.59534 0.610908 0.804956 1.45076 -0.217948 0.599651 -0.184961 -1.54645 -0.313374 0.790896 0.278816 -4.768 -15.392 -8.952 -6.2 -0.136 0.288 0.148
1.47991 -0.559136 -0.462879 1.59342 0.610141 0.806874 1.45153 -0.233263 0.609076 -0.178678 -1.55312 -0.300807 0.78422 0.27057 -4.892 -15.36 -8.916 -6.02 -0.164 0.3 0.14
1.47876 -0.557602 -0.463262 1.58959 0.60899 0.809558 1.45153 -0.244652 0.615359 -0.17318 -1.55352 -0.291775 0.770083 0.265465 -4.736 -15.392 -9.052 -5.988 -0.144 0.3 0.112
1.47837 -0.556835 -0.463262 1.58729 0.608607 0.809558 1.45191 -0.24583 0.620857 -0.170824 -1.55077 -0.290597 0.759873 0.26193 -4.704 -15.392 -8.916 -5.868 -0.144 0.328 0.112
1.47876 -0.554534 -0.463262 1.58384 0.60784 0.811092 1.45191 -0.250149 0.623999 -0.166112 -1.55391 -0.29099 0.753197 0.253684 -4.768 -15.424 -8.984 -5.836 -0.108 0.356 0.12
1.47722 -0.554151 -0.463646 1.58077 0.607456 0.813393 1.4523 -0.252898 0.625962 -0.161399 -1.55273 -0.29099 0.742987 0.242688 -4.768 -15.36 -8.916 -5.744 -0.108 0.404 0.148
1.47761 -0.553 -0.463646 1.57847 0.605922 0.812626 1.45345 -0.254862 0.628319 -0.157865 -1.5543 -0.295702 0.733562 0.233656 -4.644 -15.392 -8.716 -5.684 -0.072 0.436 0.12
1.47569 -0.55185 -0.463646 1.5754 0.606306 0.81416 1.45421 -0.258789 0.632246 -0.151582 -1.5543 -0.31141 0.717854 0.232478 -4.828 -15.36 -8.784 -5.592 -0.024 0.484 0.148
1.47531 -0.550699 -0.464029 1.5708 0.605155 0.815311 1.45498 -0.268213 0.634602 -0.144121 -1.54566 -0.329475 0.691543 0.238761 -4.672 -15.36 -8.648 -5.592 0.0 0.512 0.128
1.47454 -0.549549 -0.46518 1.56926 0.603621 0.816461 1.45536 -0.284707 0.626748 -0.140194 -1.5386 -0.342041 0.665232 0.245437 -4.768 -15.36 -8.616 -5.592 0.0 0.552 0.128
1.47454 -0.548782 -0.46518 1.56696 0.604005 0.817995 1.45498 -0.296095 0.613396 -0.144121 -1.53899 -0.356571 0.645205 0.25604 -4.736 -15.328 -8.684 -5.592 0.024 0.592 0.1
1.47416 -0.547248 -0.46518 1.56428 0.602471 0.818379 1.45536 -0.297273 0.599259 -0.149226 -1.53428 -0.374242 0.630675 0.258003 -4.644 -15.36 -8.616 -5.592 0.052 0.62 0.12
1.47301 -0.546481 -0.46518 1.56006 0.602471 0.820296 1.45536 -0.3012 0.587871 -0.146084 -1.52132 -0.387594 0.618108 0.252113 -4.828 -15.36 -8.516 -5.532 0.072 0.648 0.112
1.47147 -0.544947 -0.465563 1.55699 0.60132 0.821447 1.4569 -0.311803 0.582765 -0.135874 -1.51346 -0.395448 0.608684 0.247008 -4.828 -15.36 -8.616 -5.532 0.08 0.66 0.128
